episode,reward,penalty,net_reward,steps,success,response_time_s,rescued,route_efficiency,hard_violations,wasted_actions,blocked_attempts,failed_actions,mean_risk,disaster,policy_loss,value_loss,entropy,entropy_coef,total_loss
59,66.98,0.0,66.98,43,True,86.0,59,2.545,0,2,0,2,0.0,traffic_jam,,,,,
60,-85.97,0.0,-85.97,100,False,,0,,0,15,0,15,0.0421,landslide,,,,,
61,62.43,0.0,62.43,28,True,56.0,48,1.133,0,0,0,0,0.4788,cyclone,,,,,
62,-98.97,0.0,-98.97,100,False,,0,,0,16,0,16,0.0697,heavy_rain,,,,,
63,-1333.06,0.0,-1333.06,95,True,190.0,52,3.333,81,12,0,12,0.8104,wildfire,,,,,
64,-132.86,0.0,-132.86,100,False,,0,,0,21,0,21,0.1919,tsunami,-0.004350955861931046,0.6921687702337901,1.8478108843167622,0.02,0.3047772079706192
65,-82.08,0.0,-82.08,100,False,,0,,0,8,0,8,0.0,traffic_jam,,,,,
66,-85.59,0.0,-85.59,100,False,,0,,0,8,0,8,0.0,road_blockage,,,,,
67,72.19,0.0,72.19,18,True,36.0,42,0.909,0,4,0,4,0.3514,tsunami,,,,,
68,-28.09,0.0,-28.09,70,True,140.0,55,3.909,4,6,0,6,0.192,combined,,,,,
69,-242.61,0.0,-242.61,100,False,,0,,0,3,0,3,0.8446,cyclone,,,,,
70,-151.6,0.0,-151.6,100,False,,0,,0,8,0,8,0.4605,wildfire,,,,,
71,-149.22,0.0,-149.22,100,False,,0,,0,4,0,4,0.3651,flood,,,,,
72,85.44,0.0,85.44,19,True,38.0,60,1.3,0,0,0,0,0.3277,wildfire,-0.002124111633747816,0.9633709406852722,1.8246337985992431,0.02,0.4430686831474304
73,9.86,0.0,9.86,84,True,168.0,68,3.333,0,13,0,13,0.2596,tsunami,,,,,
74,-1020.25,0.0,-1020.25,100,False,,0,,55,12,0,12,0.6329,wildfire,,,,,
75,-172.28,0.0,-172.28,100,False,,0,,0,13,0,13,0.4445,combined,,,,,
76,-18.61,0.0,-18.61,39,True,78.0,48,1.917,6,2,0,2,0.0867,road_blockage,,,,,
77,-78.09,0.0,-78.09,100,False,,0,,0,11,0,11,0.0041,landslide,,,,,
78,41.88,0.0,41.88,59,True,118.0,31,2.2,0,0,0,0,0.1813,wildfire,,,,,
79,71.36,0.0,71.36,56,True,112.0,60,1.938,0,0,0,0,0.1225,heavy_rain,,,,,
80,-195.31,0.0,-195.31,100,False,,0,,0,8,0,8,0.5878,earthquake,-0.0048940303362905975,0.561896071434021,1.8326460695266724,0.02,0.2394010865688324
81,-31.09,0.0,-31.09,73,True,146.0,50,2.545,4,17,0,17,0.0379,combined,,,,,
82,57.19,0.0,57.19,28,True,56.0,45,1.444,0,0,0,0,0.3962,cyclone,,,,,
83,-29.6,0.0,-29.6,80,True,160.0,61,3.385,1,6,0,6,0.5298,combined,,,,,
84,57.88,0.0,57.88,57,True,114.0,40,2.615,0,4,0,4,0.0439,flood,,,,,
85,-150.82,0.0,-150.82,100,False,,0,,0,10,0,10,0.3999,flood,,,,,
86,40.4,0.0,40.4,55,True,110.0,46,2.231,0,8,0,8,0.0036,heavy_rain,,,,,
87,92.44,0.0,92.44,28,True,56.0,60,1.9,0,0,0,0,0.0,traffic_jam,,,,,
88,64.58,0.0,64.58,71,True,142.0,60,3.4,0,1,0,1,0.0008,traffic_jam,-0.004131270687503274,0.9150740832090378,1.8286893308162688,0.02,0.41683198809623717
89,20.94,0.0,20.94,53,True,106.0,72,3.7,0,2,0,2,0.5792,tsunami,,,,,
90,-114.02,0.0,-114.02,100,False,,0,,0,4,0,4,0.2084,heavy_rain,,,,,
91,38.73,0.0,38.73,66,True,132.0,70,2.412,0,3,0,3,0.3342,flood,,,,,
92,67.04,0.0,67.04,32,True,64.0,26,1.417,0,0,0,0,0.0665,earthquake,,,,,
93,71.76,0.0,71.76,49,True,98.0,79,2.643,0,0,0,0,0.1495,flood,,,,,
94,31.93,0.0,31.93,40,True,80.0,60,1.75,0,0,0,0,0.6435,tsunami,,,,,
95,-90.04,0.0,-90.04,22,True,44.0,58,1.4,10,0,0,0,0.6907,cyclone,,,,,
96,44.18,0.0,44.18,88,True,176.0,62,3.923,0,10,0,10,0.0,road_blockage,-0.0015311014984035864,1.0750977158546449,1.7885924458503724,0.02,0.5002459123730659
97,82.64,0.0,82.64,36,True,72.0,60,1.75,0,0,0,0,0.1051,heavy_rain,,,,,
98,-532.71,0.0,-532.71,43,True,86.0,30,2.545,36,4,0,4,0.6609,tsunami,,,,,
99,73.75,0.0,73.75,39,True,78.0,76,1.5,0,0,0,0,0.3567,earthquake,,,,,
100,-186.47,0.0,-186.47,100,False,,0,,0,7,0,7,0.6373,cyclone,,,,,
101,-26.25,0.0,-26.25,40,True,80.0,50,2.3,4,1,0,1,0.5424,tsunami,,,,,
102,61.0,0.0,61.0,31,True,62.0,67,2.5,0,1,0,1,0.5809,earthquake,,,,,
103,74.67,0.0,74.67,39,True,78.0,48,1.733,0,2,0,2,0.0,traffic_jam,,,,,
104,64.93,0.0,64.93,29,True,58.0,50,1.571,0,0,0,0,0.1658,earthquake,-0.0013856010201076666,0.7724392573038737,1.8031209389368692,0.02,0.34877160787582395
105,-163.05,0.0,-163.05,52,True,104.0,35,3.143,10,0,0,0,0.7465,cyclone,,,,,
106,-88.72,0.0,-88.72,100,False,,0,,0,9,0,9,0.0,traffic_jam,,,,,
107,77.66,0.0,77.66,52,True,104.0,57,2.071,0,0,0,0,0.0,traffic_jam,,,,,
108,-159.42,0.0,-159.42,35,True,70.0,78,1.846,15,0,0,0,0.4055,tsunami,,,,,
109,80.62,0.0,80.62,21,True,42.0,47,1.385,0,0,0,0,0.0439,road_blockage,,,,,
110,105.17,0.0,105.17,8,True,16.0,71,0.833,0,0,0,0,0.3329,flood,,,,,
111,47.71,0.0,47.71,61,True,122.0,80,2.5,0,1,0,1,0.4341,flood,,,,,
112,18.29,0.0,18.29,54,True,108.0,59,2.357,0,5,0,5,0.5322,tsunami,-0.0034319829273348054,0.998527713616689,1.7518836418787638,0.02,0.4607942084471385
113,75.59,0.0,75.59,21,True,42.0,56,1.5,0,0,0,0,0.3318,tsunami,,,,,
114,-216.57,0.0,-216.57,100,False,,0,,0,13,0,13,0.6827,tsunami,,,,,
115,36.5,0.0,36.5,99,True,198.0,35,4.917,0,12,0,12,0.0,road_blockage,,,,,
116,65.41,0.0,65.41,48,True,96.0,45,1.706,0,0,0,0,0.1576,tsunami,,,,,
117,25.08,0.0,25.08,46,True,92.0,60,2.071,0,4,0,4,0.5468,wildfire,,,,,
118,57.58,0.0,57.58,40,True,80.0,31,1.75,0,6,0,6,0.0041,traffic_jam,,,,,
119,-10.84,0.0,-10.84,34,True,68.0,41,1.769,5,2,0,2,0.1951,wildfire,,,,,
120,-60.83,0.0,-60.83,100,False,,0,,0,6,0,6,0.0,road_blockage,-0.0005526979337446391,0.8673155695199967,1.7577122032642365,0.02,0.39795083850622176
121,-67.68,0.0,-67.68,100,False,,0,,0,12,0,12,0.0,road_blockage,,,,,
122,82.97,0.0,82.97,34,True,68.0,54,1.786,0,0,0,0,0.1165,wildfire,,,,,
123,55.92,0.0,55.92,40,True,80.0,21,2.0,0,4,0,4,0.0465,flood,,,,,
124,-36.1,0.0,-36.1,57,True,114.0,79,2.786,6,5,0,5,0.2217,landslide,,,,,
125,78.25,0.0,78.25,24,True,48.0,38,1.333,0,3,0,3,0.0526,combined,,,,,
126,76.49,0.0,76.49,37,True,74.0,42,1.692,0,0,0,0,0.0,traffic_jam,,,,,
127,71.76,0.0,71.76,48,True,96.0,52,2.0,0,5,0,5,0.0545,landslide,,,,,
128,52.97,0.0,52.97,19,True,38.0,27,1.308,0,0,0,0,0.5114,cyclone,-0.0019078732943550373,0.7590310454368592,1.7467825333277385,0.02,0.3426719983418783
129,-205.67,0.0,-205.67,100,False,,0,,0,11,0,11,0.5634,cyclone,,,,,
130,69.15,0.0,69.15,32,True,64.0,35,1.917,0,0,0,0,0.1185,landslide,,,,,
131,60.19,0.0,60.19,37,True,74.0,23,1.75,0,5,0,5,0.0,road_blockage,,,,,
132,-183.94,0.0,-183.94,100,False,,0,,0,11,0,11,0.5522,combined,,,,,
133,76.6,0.0,76.6,48,True,96.0,51,3.091,0,1,0,1,0.0821,tsunami,,,,,
134,82.48,0.0,82.48,39,True,78.0,56,1.769,0,3,0,3,0.0,landslide,,,,,
135,69.26,0.0,69.26,29,True,58.0,34,2.0,0,4,0,4,0.0265,landslide,,,,,
136,-1473.48,0.0,-1473.48,100,False,,0,,85,11,0,11,0.6111,tsunami,-0.004055223186696821,0.6580112367868424,1.7449694931507111,0.02,0.29005100578069687
137,-10.81,0.0,-10.81,25,True,50.0,77,1.133,7,0,0,0,0.3466,wildfire,,,,,
138,50.0,0.0,50.0,42,True,84.0,55,2.818,0,2,0,2,0.3113,flood,,,,,
139,83.31,0.0,83.31,16,True,32.0,49,1.333,0,0,0,0,0.1418,heavy_rain,,,,,
140,76.82,0.0,76.82,59,True,118.0,63,2.833,0,3,0,3,0.0476,landslide,,,,,
141,50.27,0.0,50.27,36,True,72.0,73,1.643,0,0,0,0,0.7031,earthquake,,,,,
142,3.11,0.0,3.11,69,True,138.0,40,4.0,0,11,0,11,0.2966,tsunami,,,,,
143,35.8,0.0,35.8,54,True,108.0,36,3.167,0,0,0,0,0.2991,combined,,,,,
144,29.25,0.0,29.25,40,True,80.0,41,2.0,0,4,0,4,0.4939,earthquake,-0.0064156812460472185,0.8397815942764282,1.7764023224512735,0.02,0.3779470642407735
145,99.1,0.0,99.1,19,True,38.0,56,0.917,0,1,0,1,0.0,traffic_jam,,,,,
146,-130.09,0.0,-130.09,100,False,,0,,0,12,0,12,0.2547,tsunami,,,,,
147,74.9,0.0,74.9,22,True,44.0,65,1.417,0,0,0,0,0.3384,combined,,,,,
148,-447.57,0.0,-447.57,98,True,196.0,60,4.75,24,17,0,17,0.6532,wildfire,,,,,
149,25.21,0.0,25.21,38,True,76.0,41,1.778,0,0,0,0,0.4743,cyclone,,,,,
150,-80.92,0.0,-80.92,100,False,,0,,0,12,0,12,0.0114,traffic_jam,,,,,
151,-2.91,0.0,-2.91,32,True,64.0,52,1.846,4,0,0,0,0.3906,tsunami,,,,,
152,-48.29,0.0,-48.29,38,True,76.0,50,2.143,7,0,0,0,0.3361,flood,-0.0043611755943857135,1.0224904477596284,1.6895063638687133,0.02,0.4730939269065857
153,-66.18,0.0,-66.18,75,True,150.0,51,3.625,0,1,0,1,0.8136,earthquake,,,,,
154,33.45,0.0,33.45,53,True,106.0,55,3.5,0,2,0,2,0.387,combined,,,,,
155,48.97,0.0,48.97,68,True,136.0,60,3.692,0,1,0,1,0.1156,cyclone,,,,,
156,69.94,0.0,69.94,44,True,88.0,53,2.143,0,0,0,0,0.0425,heavy_rain,,,,,
157,65.19,0.0,65.19,40,True,80.0,20,2.154,0,0,0,0,0.0152,landslide,,,,,
158,-3.44,0.0,-3.44,48,True,96.0,60,2.769,0,2,0,2,0.7081,cyclone,,,,,
159,19.39,0.0,19.39,30,True,60.0,47,1.5,4,0,0,0,0.1668,earthquake,,,,,
160,-151.27,0.0,-151.27,100,False,,0,,0,13,0,13,0.3524,cyclone,-0.005713653366547078,0.6932450771331787,1.6831143498420715,0.02,0.30724660158157346
161,45.1,0.0,45.1,15,True,30.0,73,1.167,3,0,0,0,0.2409,combined,,,,,
162,53.66,0.0,53.66,73,True,146.0,56,4.364,0,4,0,4,0.0518,heavy_rain,,,,,
163,-54.06,0.0,-54.06,25,True,50.0,27,1.333,7,0,0,0,0.5526,flood,,,,,
164,99.34,0.0,99.34,14,True,28.0,74,1.083,0,0,0,0,0.2919,wildfire,,,,,
165,98.44,0.0,98.44,18,True,36.0,63,1.182,0,0,0,0,0.1655,wildfire,,,,,
166,57.18,0.0,57.18,23,True,46.0,40,1.727,1,0,0,0,0.1802,earthquake,,,,,
167,86.45,0.0,86.45,27,True,54.0,42,1.062,0,0,0,0,0.0307,road_blockage,,,,,
168,78.72,0.0,78.72,35,True,70.0,63,1.786,0,1,0,1,0.1825,earthquake,-0.005469007295323536,0.9231019496917725,1.7396716237068177,0.02,0.42128853797912597
169,68.07,0.0,68.07,8,True,16.0,20,0.875,0,0,0,0,0.2737,heavy_rain,,,,,
170,66.76,0.0,66.76,33,True,66.0,47,2.455,0,0,0,0,0.254,heavy_rain,,,,,
171,-91.23,0.0,-91.23,100,False,,0,,0,12,0,12,0.0044,traffic_jam,,,,,
172,95.01,0.0,95.01,18,True,36.0,55,1.333,0,0,0,0,0.0,road_blockage,,,,,
173,-8.58,0.0,-8.58,50,True,100.0,77,2.818,2,0,0,0,0.756,flood,,,,,
174,73.97,0.0,73.97,59,True,118.0,74,2.267,0,9,0,9,0.0019,traffic_jam,,,,,
175,-31.97,0.0,-31.97,21,True,42.0,33,1.214,6,0,0,0,0.6492,tsunami,,,,,
176,17.02,0.0,17.02,58,True,116.0,59,2.733,0,3,0,3,0.5053,tsunami,-0.004444847876826922,1.1210869510968526,1.714194893836975,0.02,0.5218147297700246
177,78.76,0.0,78.76,39,True,78.0,63,3.0,0,0,0,0,0.0483,heavy_rain,,,,,
178,87.59,0.0,87.59,30,True,60.0,74,1.769,0,2,0,2,0.1495,earthquake,,,,,
179,-248.7,0.0,-248.7,100,False,,0,,0,17,0,17,0.6934,cyclone,,,,,
180,74.2,0.0,74.2,41,True,82.0,60,2.583,0,1,0,1,0.0,traffic_jam,,,,,
181,85.42,0.0,85.42,19,True,38.0,75,1.0,0,0,0,0,0.5861,earthquake,,,,,
182,99.84,0.0,99.84,16,True,32.0,72,1.077,0,0,0,0,0.0148,heavy_rain,,,,,
183,61.49,0.0,61.49,46,True,92.0,42,2.154,0,6,0,6,0.0,road_blockage,,,,,
184,25.61,0.0,25.61,63,True,126.0,35,2.222,0,2,0,2,0.3138,wildfire,-0.001984728161308643,0.6948511521021525,1.710248064994812,0.02,0.3112358887990316
185,-91.97,0.0,-91.97,100,False,,0,,0,9,0,9,0.0,traffic_jam,,,,,
186,-996.95,0.0,-996.95,100,False,,0,,55,15,0,15,0.5158,tsunami,,,,,
187,-1368.7,0.0,-1368.7,100,False,,0,,74,7,0,7,0.8583,tsunami,,,,,
188,58.86,0.0,58.86,19,True,38.0,34,1.636,0,0,0,0,0.066,heavy_rain,,,,,
189,49.7,0.0,49.7,72,True,144.0,60,4.7,0,8,0,8,0.0195,landslide,,,,,
190,100.35,0.0,100.35,17,True,34.0,78,1.2,0,1,0,1,0.1595,heavy_rain,,,,,
191,61.77,0.0,61.77,31,True,62.0,54,2.6,0,2,0,2,0.3602,heavy_rain,,,,,
192,20.75,0.0,20.75,31,True,62.0,29,1.75,0,3,0,3,0.7469,tsunami,-0.0019706058490555735,0.6534977465867996,1.647895222902298,0.02,0.29182036221027374
193,-860.67,0.0,-860.67,97,True,194.0,53,6.0,52,8,0,8,0.6546,tsunami,,,,,
194,-141.95,0.0,-141.95,100,False,,0,,0,10,0,10,0.2907,cyclone,,,,,
195,53.61,0.0,53.61,28,True,56.0,20,1.615,1,0,0,0,0.092,landslide,,,,,
196,94.17,0.0,94.17,25,True,50.0,73,1.235,0,0,0,0,0.0,landslide,,,,,
