episode,reward,steps,success,response_time_s,rescued,route_efficiency,hard_violations,wasted_actions,blocked_attempts,failed_actions,mean_risk,disaster,mean_loss,epsilon,gradient_steps
69,-210.66,100,False,,0,,0,6,0,6,0.6976,cyclone,60.1087,0.5853,25
70,-167.01,100,False,,0,,0,11,0,11,0.5736,wildfire,64.2314,0.579,25
71,-112.72,100,False,,0,,0,12,0,12,0.2232,flood,68.3114,0.5726,25
72,-232.87,100,False,,0,,0,23,0,23,0.6641,wildfire,65.7864,0.5663,25
73,-133.49,100,False,,0,,0,12,0,12,0.337,tsunami,67.4459,0.56,25
74,-144.17,100,False,,0,,0,16,0,16,0.3196,wildfire,62.9465,0.5536,25
75,-209.75,100,False,,0,,0,16,0,16,0.5993,combined,69.1464,0.5473,25
76,-386.55,100,False,,0,,19,13,0,13,0.1179,road_blockage,64.2599,0.541,25
77,-61.17,100,False,,0,,0,11,0,11,0.0,landslide,58.5317,0.5346,25
78,-122.74,100,False,,0,,0,12,0,12,0.3265,wildfire,65.2338,0.5283,25
79,-121.54,100,False,,0,,0,11,0,11,0.3039,heavy_rain,56.9887,0.522,25
80,-98.16,100,False,,0,,0,12,0,12,0.1357,earthquake,64.0886,0.5156,25
81,-168.36,100,False,,0,,0,20,0,20,0.4171,combined,65.1964,0.5093,25
82,-178.71,100,False,,0,,0,10,0,10,0.5373,cyclone,55.2458,0.503,25
83,-351.44,100,False,,0,,11,10,0,10,0.6032,combined,61.5565,0.4966,25
84,-79.93,100,False,,0,,0,13,0,13,0.1386,flood,60.154,0.4903,25
85,-147.85,100,False,,0,,0,12,0,12,0.4137,flood,61.5035,0.484,25
86,-72.52,100,False,,0,,0,14,0,14,0.0246,heavy_rain,57.4186,0.4776,25
87,-50.5,100,False,,0,,0,10,0,10,0.0,traffic_jam,57.9492,0.4713,25
88,-58.99,100,False,,0,,0,7,0,7,0.0,traffic_jam,58.6752,0.465,25
89,-193.84,100,False,,0,,0,19,0,19,0.501,tsunami,63.6704,0.4586,25
90,-69.64,100,False,,0,,0,12,0,12,0.0293,heavy_rain,66.0067,0.4523,25
91,-631.25,100,False,,0,,32,9,0,9,0.3849,flood,63.2704,0.446,25
92,-189.89,100,False,,0,,0,16,0,16,0.5196,earthquake,66.0773,0.4396,25
93,-88.19,100,False,,0,,0,13,0,13,0.0721,flood,66.5138,0.4333,25
94,-229.21,100,False,,0,,0,24,0,24,0.6697,tsunami,60.9588,0.427,25
95,-338.39,100,False,,0,,9,12,0,12,0.5989,cyclone,63.561,0.4206,25
96,-54.37,100,False,,0,,0,10,0,10,0.0199,road_blockage,65.4589,0.4143,25
97,-111.8,100,False,,0,,0,8,0,8,0.2746,heavy_rain,64.723,0.408,25
98,-231.24,100,False,,0,,6,15,0,15,0.4303,tsunami,66.0737,0.4016,25
99,-128.0,100,False,,0,,0,3,0,3,0.3755,earthquake,69.5539,0.3953,25
100,-159.8,100,False,,0,,0,12,0,12,0.5052,cyclone,66.3404,0.389,25
101,-1356.04,100,False,,0,,74,10,0,10,0.7861,tsunami,71.27,0.3826,25
102,-159.76,100,False,,0,,0,7,0,7,0.5664,earthquake,68.3666,0.3763,25
103,-52.89,100,False,,0,,0,7,0,7,0.0,traffic_jam,61.9808,0.37,25
